Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Main Actors
tt0346336,7,2024-02-07,La meglio gioventù,La meglio gioventù,https://www.imdb.com/title/tt0346336,Film,8.4,374,2003,"Sentimentale, Drammatico",26974,2003-06-20,Marco Tullio Giordana,"Luigi Lo Cascio, Alessio Boni, Jasmine Trinca"
tt5168192,7,2024-02-03,"Io, Daniel Blake","I, Daniel Blake",https://www.imdb.com/title/tt5168192,Film,7.8,100,2016,Drammatico,67627,2016-10-21,Ken Loach,"Dave Johns, Hayley Squires, Sharon Percy"
tt14230458,7,2024-01-27,Povere creature!,Poor Things,https://www.imdb.com/title/tt14230458,Film,7.8,141,2023,"Sentimentale, Fantascienza, Commedia, Drammatico",361400,2024-01-25,Yorgos Lanthimos,"Emma Stone, Mark Ruffalo, Willem Dafoe"
tt12758060,6,2024-01-18,Tetris,Tetris,https://www.imdb.com/title/tt12758060,Film,7.4,118,2023,"Biografico, Thriller, Drammatico, Storico",102857,2023-03-31,Jon S. Baird,"Taron Egerton, Mara Huf, Miles Barrow"
tt17351924,4,2024-01-13,Saltburn,Saltburn,https://www.imdb.com/title/tt17351924,Film,7.0,131,2023,"Thriller, Drammatico",254713,2023-12-22,Emerald Fennell,"Barry Keoghan, Jacob Elordi, Rosamund Pike"
tt6803046,6,2024-01-13,L'immensità della notte,The Vast of Night,https://www.imdb.com/title/tt6803046,Film,6.7,91,2019,"Giallo, Fantascienza, Thriller, Drammatico",48964,2020-05-29,Andrew Patterson,"Sierra McCormick, Jake Horowitz, Gail Cronauer"
tt0475784,7,2024-01-07,Westworld - Dove tutto è concesso,Westworld,https://www.imdb.com/title/tt0475784,Serie TV,8.4,60,2016,"Fantascienza, Drammatico, Giallo",553493,2016-10-02,,"Evan Rachel Wood, Jeffrey Wright, Ed Harris"
tt0149460,7,2024-01-07,Futurama,Futurama,https://www.imdb.com/title/tt0149460,Serie TV,8.5,22,1999,"Animazione, Avventura, Fantascienza, Commedia",275763,2000-01-06,,"Billy West, John DiMaggio, Katey Sagal"
tt4158110,7,2024-01-07,Mr. Robot,Mr. Robot,https://www.imdb.com/title/tt4158110,Serie TV,8.5,45,2015,"Poliziesco, Drammatico, Thriller",456262,2016-03-03,,"Rami Malek, Christian Slater, Carly Chaikin"
tt5290382,8,2024-01-07,Mindhunter,Mindhunter,https://www.imdb.com/title/tt5290382,Serie TV,8.6,60,2017,"Thriller, Poliziesco, Drammatico, Giallo",384653,2017-10-13,,"Jonathan Groff, Holt McCallany, Anna Torv"
tt0106179,8,2024-01-07,X-Files,The X Files,https://www.imdb.com/title/tt0106179,Serie TV,8.6,45,1993,"Drammatico, Poliziesco, Avventura, Fantascienza, Giallo, Thriller",268144,1994-06-29,,"David Duchovny, Gillian Anderson, Mitch Pileggi"
tt1856010,8,2024-01-07,House of Cards - Gli intrighi del potere,House of Cards,https://www.imdb.com/title/tt1856010,Serie TV,8.6,50,2013,"Drammatico, Thriller",553767,2014-04-09,,"Kevin Spacey, Michel Gill, Robin Wright"
tt0804503,9,2024-01-07,Mad Men,Mad Men,https://www.imdb.com/title/tt0804503,Serie TV,8.7,45,2007,Drammatico,282049,2008-03-18,,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser"
tt0096697,10,2024-01-07,I Simpson,The Simpsons,https://www.imdb.com/title/tt0096697,Serie TV,8.6,22,1989,"Animazione, Commedia",462233,1991-12-24,,"Dan Castellaneta, Nancy Cartwright, Julie Kavner"
tt2085059,9,2024-01-07,Black Mirror,Black Mirror,https://www.imdb.com/title/tt2085059,Serie TV,8.7,60,2011,"Drammatico, Thriller, Fantascienza, Giallo, Poliziesco",718342,2012-10-10,,"Anjana Vasan, Paapa Essiedu, Cristin Milioti"
tt2442560,9,2024-01-07,Peaky Blinders,Peaky Blinders,https://www.imdb.com/title/tt2442560,Serie TV,8.7,60,2013,"Drammatico, Poliziesco",741388,2015-10-22,,"Cillian Murphy, Paul Anderson, Sophie Rundle"
tt1475582,8,2024-01-07,Sherlock,Sherlock,https://www.imdb.com/title/tt1475582,Serie TV,9.0,90,2010,"Poliziesco, Giallo, Drammatico, Thriller",1070824,2011-02-18,,"Benedict Cumberbatch, Martin Freeman, Una Stubbs"
tt4786824,9,2024-01-07,The Crown,The Crown,https://www.imdb.com/title/tt4786824,Serie TV,8.6,60,2016,"Drammatico, Storico, Biografico",276004,2016-11-04,,"Claire Foy, Olivia Colman, Imelda Staunton"
tt13097932,7,2023-12-26,One Life,One Life,https://www.imdb.com/title/tt13097932,Film,7.5,109,2023,"Drammatico, Biografico, Storico",37626,2023-12-21,James Hawes,"Anthony Hopkins, Lena Olin, Johnny Flynn"
tt3758542,5,2023-12-23,Ferrari,Ferrari,https://www.imdb.com/title/tt3758542,Film,6.4,130,2023,"Biografico, Drammatico, Storico, Sportivo",65461,2023-12-14,Michael Mann,"Adam Driver, Shailene Woodley, Giuseppe Festinese"
tt15227418,7,2023-12-23,A Murder at the End of the World,A Murder at the End of the World,https://www.imdb.com/title/tt15227418,Mini serie TV,7.0,59,2023,"Giallo, Drammatico, Thriller",31424,2023-11-14,,"Emma Corrin, Brit Marling, Harris Dickinson"
tt12747748,7,2023-12-19,Il mondo dietro di te,Leave the World Behind,https://www.imdb.com/title/tt12747748,Film,6.4,138,2023,"Drammatico, Thriller, Giallo",236419,2023-12-08,Sam Esmail,"Julia Roberts, Mahershala Ali, Ethan Hawke"
tt0151691,6,2023-12-15,My Name Is Joe,My Name Is Joe,https://www.imdb.com/title/tt0151691,Film,7.4,105,1998,"Sentimentale, Drammatico",9251,1998-12-04,Ken Loach,"Peter Mullan, Louise Goodall, Gary Lewis"
tt4276820,6,2023-12-07,The Founder,The Founder,https://www.imdb.com/title/tt4276820,Film,7.2,115,2016,"Biografico, Drammatico",199556,2017-01-12,John Lee Hancock,"Michael Keaton, Nick Offerman, John Carroll Lynch"
tt13287846,5,2023-12-04,Napoleon,Napoleon,https://www.imdb.com/title/tt13287846,Film,6.3,158,2023,"Biografico, Azione, Drammatico, Guerra, Avventura, Storico",180758,2023-11-23,Ridley Scott,"Joaquin Phoenix, Vanessa Kirby, Tahar Rahim"
tt21800162,8,2023-12-03,C'è ancora domani,C'è ancora domani,https://www.imdb.com/title/tt21800162,Film,7.7,118,2023,"Commedia, Drammatico, Storico",17393,2023-10-26,Paola Cortellesi,"Paola Cortellesi, Valerio Mastandrea, Romana Maggiora Vergano"
